rank_overall,rank_support,rank_lift,rank_support_lift,flavor_a,flavor_b,pair_key,pair_count,document_cooccurrence_count,same_sentence_cooccurrence_count,same_sentence_evidence_document_count,explicit_mix_count,support,lift,normalized_lift,adjusted_lift,confidence_factor,centrality_mean,smoothed_positive_ratio,smoothed_negative_ratio,smoothed_role_ratio,overall_score_v2,document_level_positive_ratio,document_level_negative_ratio,document_level_role_ratio,same_sentence_positive_ratio,same_sentence_negative_ratio,same_sentence_role_ratio,template_evidence_count,positive_evidence_count,negative_evidence_count,role_evidence_count,is_product_name_derived,has_explicit_mix_expression,excluded_as_product_name_pair,is_parent_child_pair,parent_child_reason,context_score_eligible,normalized_support,normalized_pair_count,normalized_centrality_mean,normalized_smoothed_positive_ratio,normalized_smoothed_negative_ratio,normalized_smoothed_role_ratio,support_log1p,pair_count_log1p,lift_clipped,evidence_rows_before_dedup,evidence_rows_after_dedup,evidence_duplicates_removed,frequency_a,frequency_b,centrality_a,centrality_b,centrality_max,centrality_geometric_mean,document_level_positive_count,document_level_negative_count,document_level_role_count,same_sentence_positive_count,same_sentence_negative_count,same_sentence_role_count,smoothed_positive_ratio_for_score,smoothed_negative_ratio_for_score,smoothed_role_ratio_for_score,support_lift_score,ranking_tier,excluded_reason,score,rank_SettingA_balanced,setting,rank_SettingB_cooccurrence,rank_SettingC_context
1,2,27,2,グレープフルーツ,レモン,グレープフルーツ||レモン,6,6,6,5,0,0.07692307692307693,2.4375,0.06619405534677125,0.06619405534677125,1.0,0.15311441204298348,0.2916666666666667,0.004166666666666667,0.13333333333333333,0.5315670884194031,0.3333333333333333,0.0,0.16666666666666666,0.4,0.0,0.2,1,2,0,1,False,False,False,False,,True,0.804791233455668,0.8638586765081668,0.5402725464357655,0.875,0.02419354838709677,0.625,0.07410797215372188,1.9459101490553132,2.4375,567,509,58,12,16,0.07167647167647169,0.23455235240949526,0.23455235240949526,0.1296606534154791,2,0,1,2,0,1,0.2916666666666667,0.004166666666666667,0.13333333333333333,0.43549264440121965,Tier1,other,0.5315670884194031,1.0,SettingA_balanced,,
2,1,21,1,グレープ,ミント,グレープ||ミント,7,7,4,4,2,0.08974358974358974,3.25,0.09395285275025597,0.09395285275025597,1.0,0.16634506620770362,0.047619047619047616,0.0047619047619047615,0.009523809523809523,0.43604984970105587,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,8,0,0,0,True,True,False,False,,True,1.0,1.0,0.58700845233265,0.14285714285714282,0.02764976958525345,0.044642857142857144,0.08594242980072472,2.0794415416798357,3.25,567,509,58,7,24,0.0007215007215007215,0.3319686316939065,0.3319686316939065,0.01547629178074518,2,0,0,0,0,0,0.047619047619047616,0.0047619047619047615,0.009523809523809523,0.546976426375128,Tier1,other,0.43604984970105587,2.0,SettingA_balanced,,
3,3,47,3,ミント,レモン,ミント||レモン,6,6,3,3,2,0.07692307692307693,1.21875,0.024555859241544176,0.024555859241544176,1.0,0.2832604920517009,0.05555555555555555,0.005555555555555556,0.011111111111111112,0.42617176495461334,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,True,0.804791233455668,0.8638586765081668,1.0,0.16666666666666663,0.03225806451612903,0.052083333333333336,0.07410797215372188,1.9459101490553132,1.21875,567,509,58,24,16,0.3319686316939065,0.23455235240949526,0.3319686316939065,0.2790412576841767,2,0,0,0,0,0,0.05555555555555555,0.005555555555555556,0.011111111111111112,0.4146735463486061,Tier1,other,0.42617176495461334,3.0,SettingA_balanced,,
4,6,25,6,ライム,レモン,ライム||レモン,5,5,5,4,0,0.0641025641025641,3.046875,0.0870131533993848,0.0870131533993848,1.0,0.1301521890807605,0.33333333333333337,0.0047619047619047615,0.009523809523809523,0.4258825934426249,0.4,0.0,0.0,0.5,0.0,0.0,1,2,0,0,False,False,False,False,,True,0.6072445818166957,0.7066950526114238,0.4591608887516471,1.0,0.02764976958525345,0.044642857142857144,0.06213178110700618,1.791759469228055,3.046875,567,509,58,8,16,0.025752025752025755,0.23455235240949526,0.23455235240949526,0.07771871215767501,2,0,0,2,0,0,0.33333333333333337,0.0047619047619047615,0.009523809523809523,0.34712886760804024,Tier1,other,0.4258825934426249,4.0,SettingA_balanced,,
5,4,14,4,コニャック,バニラ,コニャック||バニラ,5,5,5,5,5,0.0641025641025641,5.0,0.15374103177314613,0.15374103177314613,1.0,0.10343316634525423,0.041666666666666664,0.004166666666666667,0.008333333333333333,0.2967720142235994,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,True,0.6072445818166957,0.7066950526114238,0.3647787276977266,0.12499999999999999,0.02419354838709677,0.0390625,0.06213178110700618,1.791759469228055,5.0,567,509,58,6,13,0.010212010212010212,0.19665432247849826,0.19665432247849826,0.04481334566160368,0,0,0,0,0,0,0.041666666666666664,0.004166666666666667,0.008333333333333333,0.3804928067949209,Tier1,other,0.2967720142235994,5.0,SettingA_balanced,,
6,17,35,19,アイス,ミント,アイス||ミント,3,3,2,2,1,0.038461538461538464,1.95,0.04953877690468042,0.02972326614280825,0.6,0.16631731617995357,0.26666666666666666,0.006666666666666666,0.013333333333333332,0.2812545442844642,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,5,1,0,0,False,True,False,False,,True,0.2049088246054759,0.2933049473885764,0.5869104282539147,0.7999999999999999,0.038709677419354833,0.0625,0.03774032798284703,1.3862943611198906,1.95,567,509,58,5,24,0.000666000666000666,0.3319686316939065,0.3319686316939065,0.01486914018359742,1,0,0,1,0,0,0.26666666666666666,0.006666666666666666,0.013333333333333332,0.11731604537414209,Tier1,other,0.2812545442844642,6.0,SettingA_balanced,,
7,21,44,23,ベリー,レモン,ベリー||レモン,3,3,2,2,0,0.038461538461538464,1.625,0.03843525794328653,0.023061154765971918,0.6,0.13535968000253715,0.26666666666666666,0.006666666666666666,0.013333333333333332,0.26318582329691376,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0,1,0,0,False,False,False,False,,True,0.2049088246054759,0.2933049473885764,0.4775558072983055,0.7999999999999999,0.038709677419354833,0.0625,0.03774032798284703,1.3862943611198906,1.625,567,509,58,9,16,0.036167007595579025,0.23455235240949526,0.23455235240949526,0.09210351085140643,1,0,0,1,0,0,0.26666666666666666,0.006666666666666666,0.013333333333333332,0.11398498968572392,Tier1,other,0.26318582329691376,7.0,SettingA_balanced,,
8,20,41,22,バニラ,ミルク,バニラ||ミルク,3,3,2,2,0,0.038461538461538464,1.6363636363636365,0.03882349287200661,0.023294095723203963,0.6,0.1310573278979872,0.26666666666666666,0.006666666666666666,0.013333333333333332,0.26096441702428114,0.3333333333333333,0.0,0.3333333333333333,0.5,0.0,0.0,0,1,0,0,False,False,False,False,,True,0.2049088246054759,0.2933049473885764,0.46235819721870125,0.7999999999999999,0.038709677419354833,0.0625,0.03774032798284703,1.3862943611198906,1.6363636363636365,567,509,58,13,11,0.19665432247849826,0.06546033331747617,0.19665432247849826,0.11345949716865901,1,0,1,1,0,0,0.26666666666666666,0.006666666666666666,0.013333333333333332,0.11410146016433993,Tier1,other,0.26096441702428114,8.0,SettingA_balanced,,
9,10,43,11,ミント,ライム,ミント||ライム,4,4,2,2,1,0.05128205128205128,1.625,0.03843525794328653,0.03074820635462923,0.8,0.17886032872296612,0.06666666666666667,0.006666666666666666,0.013333333333333332,0.2588751746011315,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,True,0.4073033670236856,0.5208099393420963,0.6312173118422423,0.19999999999999998,0.038709677419354833,0.0625,0.050010420574661374,1.6094379124341003,1.625,567,509,58,24,8,0.3319686316939065,0.025752025752025755,0.3319686316939065,0.09246007112395184,2,0,0,0,0,0,0.06666666666666667,0.006666666666666666,0.013333333333333332,0.2190257866891574,Tier1,other,0.2588751746011315,9.0,SettingA_balanced,,
10,5,22,5,オレンジ,グレープフルーツ,オレンジ||グレープフルーツ,5,5,4,4,2,0.0641025641025641,3.25,0.09395285275025597,0.09395285275025597,1.0,0.0486920486920487,0.047619047619047616,0.0047619047619047615,0.009523809523809523,0.25588367224842007,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,True,0.6072445818166957,0.7066950526114238,0.17141143901501957,0.14285714285714282,0.02764976958525345,0.044642857142857144,0.06213178110700618,1.791759469228055,3.25,567,509,58,10,12,0.025707625707625713,0.07167647167647169,0.07167647167647169,0.04292588852781,1,0,0,0,0,0,0.047619047619047616,0.0047619047619047615,0.009523809523809523,0.35059871728347586,Tier1,other,0.25588367224842007,10.0,SettingA_balanced,,
11,8,34,9,オレンジ,レモン,オレンジ||レモン,4,4,2,2,1,0.05128205128205128,1.95,0.04953877690468042,0.03963102152374434,0.8,0.1301299890585605,0.06666666666666667,0.006666666666666666,0.013333333333333332,0.23527565204037285,0.25,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,True,0.4073033670236856,0.5208099393420963,0.45908246948865894,0.19999999999999998,0.038709677419354833,0.0625,0.050010420574661374,1.6094379124341003,1.95,567,509,58,10,16,0.025707625707625713,0.23455235240949526,0.23455235240949526,0.07765168436412971,1,0,0,0,0,0,0.06666666666666667,0.006666666666666666,0.013333333333333332,0.22346719427371498,Tier1,other,0.23527565204037285,11.0,SettingA_balanced,,
12,13,12,15,ミルク,メロン,ミルク||メロン,3,3,2,2,0,0.038461538461538464,5.318181818181818,0.164611609777308,0.0987669658663848,0.6,0.03418704311561454,0.06666666666666667,0.006666666666666666,0.21333333333333332,0.23225500792768827,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.5,4,0,0,1,True,True,False,False,,True,0.2049088246054759,0.2933049473885764,0.12017401966944696,0.19999999999999998,0.038709677419354833,1.0,0.03774032798284703,1.3862943611198906,5.318181818181818,567,509,58,11,4,0.06546033331747617,0.002913752913752914,0.06546033331747617,0.013810692847899889,1,0,1,0,0,1,0.06666666666666667,0.006666666666666666,0.21333333333333332,0.15183789523593036,Tier1,other,0.23225500792768827,12.0,SettingA_balanced,,
13,9,42,10,ミント,ライチ,ミント||ライチ,4,4,1,1,0,0.05128205128205128,1.625,0.03843525794328653,0.03074820635462923,0.8,0.17385144871408612,0.08333333333333333,0.008333333333333333,0.016666666666666666,0.22190665654034275,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,False,False,False,False,,False,0.4073033670236856,0.5208099393420963,0.6135239656305318,0.0,0.0,0.0,0.050010420574661374,1.6094379124341003,1.625,567,509,58,24,8,0.3319686316939065,0.015734265734265732,0.3319686316939065,0.07227228145362864,0,0,0,0,0,0,0.0,0.0,0.0,0.2190257866891574,Tier2,other,0.22190665654034275,13.0,SettingA_balanced,,
14,14,18,16,グレープ,ベリー,グレープ||ベリー,3,3,2,2,1,0.038461538461538464,3.7142857142857144,0.10981502269510439,0.06588901361706263,0.6,0.018444254158539872,0.26666666666666666,0.006666666666666666,0.013333333333333332,0.211944055859584,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,3,1,0,0,False,True,False,False,,True,0.2049088246054759,0.2933049473885764,0.06456425963095548,0.7999999999999999,0.038709677419354833,0.0625,0.03774032798284703,1.3862943611198906,3.7142857142857144,567,509,58,7,9,0.0007215007215007215,0.036167007595579025,0.036167007595579025,0.0051082797568978485,2,0,0,1,0,0,0.26666666666666666,0.006666666666666666,0.013333333333333332,0.13539891911126928,Tier1,other,0.211944055859584,14.0,SettingA_balanced,,
15,22,48,24,グアバ,レモン,グアバ||レモン,3,3,2,2,0,0.038461538461538464,1.21875,0.024555859241544176,0.014733515544926506,0.6,0.1912719606400925,0.06666666666666667,0.006666666666666666,0.013333333333333332,0.20072955845777493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,True,0.2049088246054759,0.2933049473885764,0.6750601070724551,0.19999999999999998,0.038709677419354833,0.0625,0.03774032798284703,1.3862943611198906,1.21875,567,509,58,12,16,0.1479915688706897,0.23455235240949526,0.23455235240949526,0.18631095141024884,0,0,0,0,0,0,0.06666666666666667,0.006666666666666666,0.013333333333333332,0.1098211700752012,Tier1,other,0.20072955845777493,15.0,SettingA_balanced,,
16,24,51,26,グアバ,ミント,グアバ||ミント,3,3,1,1,0,0.038461538461538464,0.8125,0.010676460539801815,0.006405876323881089,0.6,0.2399801002822981,0.08333333333333333,0.008333333333333333,0.016666666666666666,0.19014159598707056,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,False,0.2049088246054759,0.2933049473885764,0.8471165301630502,0.0,0.0,0.0,0.03774032798284703,1.3862943611198906,0.8125,567,509,58,12,24,0.1479915688706897,0.3319686316939065,0.3319686316939065,0.22164963031829624,1,0,0,0,0,0,0.0,0.0,0.0,0.1056573504646785,Tier2,other,0.19014159598707056,16.0,SettingA_balanced,,
